BLAST,PercentMatch,1003_Wk1,1003_Wk2,1003_Wk3,1003_Wk4,1003_Wk5,1003_Wk6,1003_Wk7,1003_Wk8,1003_Wk9,1004_Wk1,1004_Wk2,1004_Wk3,1004_Wk4,1004_Wk5,1004_Wk6,1004_Wk7,1004_Wk8,1004_Wk9,1005_Wk1,1005_Wk2,1005_Wk3,1005_Wk4,1005_Wk5,1005_Wk6,1005_Wk7,1005_Wk8,1005_Wk9,Wk1_Control,Wk2_Control,Wk3_Control,Wk4_1003Parallel,Wk4_1004Parallel,Wk4_1005Parallel,Wk5_1003Parallel,Wk5_1004Parallel,Wk5_1005Parallel,Wk6_1003Parallel,Wk6_1004Parallel,Wk6_1005Parallel,Wk7_1003Parallel,Wk7_1004Parallel,Wk7_1005Parallel,Wk8_1003Parallel,Wk8_1004Parallel,Wk8_1005Parallel,Wk9_1003Parallel,Wk9_1004Parallel
Alosa aestivalis,100,0,0,0,0,3,0,0,0,0,0,0,0,36659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,98.8,0,0,14,0,0,0,0,0,0,0,0,0,0,25521,0,9254,2887,0,5,0,0,30,0,29,95710,0,23,0,0,0,0,0,0,33569,0,6,0,69177,0,0,0,32461,4225,6790,0,37537,0
Ammodytes,100,0,0,0,8,52,0,169279,96,14,209,0,0,0,0,36,22,0,0,0,0,0,0,44,30,0,0,0,0,27,0,0,0,0,0,46,0,0,0,0,0,30,0,0,0,0,0,40
Anguilla rostrata,99,0,0,32,0,0,0,0,0,0,0,0,0,0,35865,16026,0,0,18,0,0,0,4,13,4,0,63753,6,0,0,0,0,3,0,0,34829,29812,20,0,0,11,0,1988,32712,0,318,0,0
Brevoortia tyrannus,100,9,0,0,0,0,0,0,0,30130,0,0,0,0,0,0,0,0,21746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,100,0,49946,0,0,0,0,62545,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
Clupea sp.,100,0,0,106,121,9,71,281,374,0,131,119,117,0,378,87,122,0,0,0,0,10,13,20,67,4,13,0,403,363,0,0,5,0,201,167,0,762,610,267,49,0,24,77,5,4,11,67
Cryptacanthodes sp.,100,0,0,0,0,0,82,0,62,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enchelyopus cimbrius,100,0,0,106,0,0,0,0,0,0,0,0,0,0,21977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8211,0,175,0,0,0,2,0,12594,301,0,0
Eumesogrammus praecisus,100,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,43,0,0,0,0,97706,0,0,0,0,0,4279,0,0,0,0,0,2596,0,0,0
Fundulus heteroclitus,100,0,0,0,0,0,0,0,0,3064,0,0,0,0,0,0,0,0,14817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10985,0,10521,0,0,0,0,0,0,0,0,0
Gadidae sp.,100,0,0,178,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Gadus morhua,100,0,0,0,0,0,0,282,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasterosteus aculeatus,100,0,14,235,14,0,0,95,0,3,0,2,7,7,6,0,0,0,254,472,457,0,167,175,298,0,42119,93,0,6,0,0,0,0,75,27,0,182,88,0,77,0,26,60,29,33,33,52
Hippoglossoides platessoides,100,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Melanogrammus aeglefinus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252,0,0,0,0,0
Menidia menidia,99.4,0,81096,0,0,0,0,7,0,0,0,0,0,0,0,31112,0,0,61,0,0,0,0,7,8,0,24,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,15610,0,0,91,0,18
Myoxocephalus aenaeas,98.8,9,29059,79,0,0,0,0,0,0,0,0,28,0,0,34317,0,40102,79,30,0,0,0,24,0,0,39,47,0,0,0,0,22,0,0,0,0,39,23831,0,0,0,0,41516,49960,1274,0,26913
Oncorhynchus keta,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,61,0,233,249,234,156,333,0
Oncorhynchus mykiss,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,49,0,0,0,0,0,0,0,0,22,0,45,42,0,49,40,0
Oncorhynchus tshawytscha,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,20,0,42,48,60,0,54,0
Oreochromis niloticus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16428,0,0,0,0,0,0,0,0,0,0,0,0,0
Pholis sp.,100,108924,136,15,32,0,136,28,333,103220,285,214,81,14,56,52158,180313,67857,56853,0,17,0,240,196,352,114,95,15,46,52,45,24277,7,0,20353,59461,25968,77918,15896,46269,99,43,168486,26592,11510,274,126781,61059
Pleuronectidae,100,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollachius virens,100,0,0,0,0,0,0,0,0,9578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3349,0,0,0,8615,0,0,0,0,0
Pungitius pungitius,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmo salar,99,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,128154,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber scombrus,100,49,64219,184,117,192993,234322,198,120,54737,298,102,199022,195347,96692,64738,81405,114054,84998,75,144,170,335204,177,89231,85,32474,126,73,77,30,155873,74,76409,100214,99670,42705,85021,48374,49598,4124,104705,37471,81405,82691,3455,33790,50586
Sebastes spp.,100,0,0,0,0,0,0,0,0,601,82,31,108,0,125,183,0,0,7,0,0,0,0,0,0,10,62419,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus adspersus,100,90,48430,106272,305809,90697,94898,96,60,44393,63,48,69655,77042,30518,53831,37963,32890,75223,51,141,95,51379,186,295098,140580,33170,128,15,58,15,37,19,100187,41084,41407,91188,101,39800,73234,55,134893,236,21398,53763,1741,75205,129545
Urophycis chuss,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
