Sp,Confidence,DOT1003_Wk1,DOT1003_Wk2,DOT1003_Wk3,DOT1003_Wk4,DOT1003_Wk5,DOT1003_Wk6,DOT1003_Wk7,DOT1003_Wk8,DOT1003_Wk9,DOT1004_Wk1,DOT1004_Wk2,DOT1004_Wk3,DOT1004_Wk4,DOT1004_Wk5,DOT1004_Wk6,DOT1004_Wk7,DOT1004_Wk8,DOT1004_Wk9,DOT1005_Wk1,DOT1005_Wk2,DOT1005_Wk3,DOT1005_Wk4,DOT1005_Wk5,DOT1005_Wk6,DOT1005_Wk7,DOT1005_Wk8,DOT1005_Wk9,SR1-1,SR1-2,SR1-4,SR2-4,SR3-4,SR1-5,SR2-5,SR3-5,SR1-6,SR2-6,SR3-6,SR1-7,SR2-7,SR3-7,SR1-8,SR2-8,SR3-8,SR1-9,SR2-9
Alosa_aestivalis,0.926484896,0,0,0,0,3,0,0,0,0,0,0,0,36659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa_sp.,0.990169246,0,0,14,0,0,0,0,0,0,0,0,0,0,25521,0,9254,2887,0,5,0,0,30,0,29,95710,0,23,0,0,0,0,0,33569,0,0,0,69177,0,0,0,32461,4225,6790,0,37680,0
Ammodytes_sp.,0.999999996,0,0,0,8,52,0,169243,96,14,209,0,0,0,0,36,22,0,0,0,0,0,0,44,30,0,0,0,0,27,0,0,0,0,46,0,0,0,0,0,30,0,0,0,0,0,40
Anguilla_rostrata,0.991756032,0,0,32,0,0,0,0,0,0,0,0,0,0,35865,16026,0,0,18,0,0,0,4,13,4,0,63753,6,0,0,0,3,0,0,34829,29812,20,0,0,11,0,1988,32712,0,318,0,0
Brevoortia_tyrannus,0.999932603,9,0,0,0,0,0,0,0,30130,0,0,0,0,0,0,0,0,21746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea_harengus,0.999999987,0,49946,106,121,9,71,62545,374,0,131,119,117,0,378,87,122,0,0,0,0,10,13,20,67,4,13,0,265,363,0,0,0,201,167,0,762,610,267,49,22,24,77,5,4,11,67
Cottidae_sp.,0.999999939,0,0,0,26,6,583,443,192,1058,138,32,47,0,0,0,24,0,0,0,0,0,0,38,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,644,0,3,0,0,0,0
Cottidae_sp.,0.999999745,0,0,0,13,0,41,140,130,0,0,313,268,0,23,404,250,9,8,0,0,0,0,12,4,0,0,0,57,0,0,0,0,0,39,0,0,0,0,0,0,8,0,10,0,0,5
Cottidae_sp.,0.999874414,0,0,0,0,0,233,512,555,0,6,0,0,0,0,66,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,0,0,0,0,0,0,0,0,0,0,0,0
Cottidae_sp.,0.999920935,0,0,0,118,0,0,170,113,0,100,7,29,0,242,149,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,73,10,0,16,0,0,3,6,0,3,0,0,0,0
Cottidae_sp.,0.990702827,0,0,0,0,0,30,108,21,0,0,0,0,0,202,0,102,0,0,0,0,0,0,162,76,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottidae_sp.,0.999999672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0
Cryptacanthodes_sp.,0.999999989,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enchelyopus_cimbrius,1,0,0,106,0,0,0,0,0,0,0,0,0,0,21977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8211,0,175,0,0,0,2,0,12594,301,0,0
Eumesogrammus_praecisus,0.970478986,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,43,0,0,0,97646,0,0,0,0,0,4279,0,0,0,0,0,2596,0,0,0
Fundulus_heteroclitus,0.999983537,0,0,0,0,0,0,0,0,3064,0,0,0,0,0,0,0,0,14817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10985,0,10521,0,0,0,0,0,0,0,0,0
Gadus_morhua,0.999977058,0,0,0,0,0,0,282,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadus_sp.,0.999977126,0,0,178,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Gasterosteus_aculeatus,1,0,14,235,14,0,0,95,0,3,0,2,7,7,0,0,0,0,40,0,147,0,167,135,298,0,41876,0,0,6,0,0,0,0,0,0,85,88,0,77,0,26,60,29,33,33,0
Hippoglossoides_platessoides,1,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Lepidogobius_lepidus,0.999999954,0,0,0,0,0,0,0,45,0,0,75,20,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxilus_cornutus,0.969207686,0,0,0,0,0,0,0,0,0,0,0,0,0,19257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanogrammus_aeglefinus,0.949109383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252,0,0,0,0,0
Menidia_menidia,0.985186491,0,81096,0,0,0,0,7,0,0,0,0,0,0,0,31112,0,0,61,0,0,0,0,7,8,0,24,0,0,0,0,0,2,0,0,0,12,0,0,0,0,15610,0,0,91,0,18
Myoxocephalus_aenaeas,1,9,29059,79,0,0,0,0,0,0,0,0,28,0,0,34317,0,42951,79,30,0,0,0,24,0,0,39,47,0,0,0,22,0,0,0,0,39,23831,156,0,0,0,41516,49960,1274,0,26913
Oncorhynchus_clarkii,0.985242111,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,110,110,66,0,0,0,14,0,93,0,0,0,243,0,0,0,0,0,23,37,0,0,0,0,0,0,0,0,0
Oncorhynchus_kisutch,0.98889982,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,85,7,56,244,0,15,151,8,11,0,0,18,25,18,0,0,16,0,0,0,0,0,34
Oncorhynchus_tshawytscha,0.999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,20,0,42,48,60,0,54,0
Oreochromis_niloticus,0.981062824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16428,0,0,0,0,0,0,0,0,0,0,0,0,0
Pholis_sp.,0.998014051,108924,136,15,32,0,136,28,333,104179,285,214,81,14,56,52158,180313,67857,56853,0,17,0,240,196,352,114,95,15,46,52,24277,7,0,20353,59461,25968,77918,15896,46269,99,43,168486,26592,11510,274,126781,61059
Pleuronectidae_sp.,1,50,0,268239,0,0,16,59,0,0,55,26,0,0,0,0,13,0,0,25,0,0,0,0,0,0,0,0,27,5,0,33,0,0,0,0,0,27,10,0,0,0,0,17,0,30,47
Pollachius_pollachius,0.925004832,0,0,0,0,0,0,0,0,9578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes_sp.,0.992270867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3349,0,0,0,8615,0,0,0,0,0
Pungitius_pungitius,0.999999928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmo_salar,0.999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber_scombrus,1,49,64219,184,117,192993,234307,198,120,54737,298,102,198997,195347,96692,64663,81405,114054,84998,75,144,170,335204,177,89231,85,32474,126,0,77,155873,74,76409,100200,99670,42705,85021,48374,49598,4124,104705,37471,81405,82691,3455,33790,50586
Sebastes_sp.,0.999521086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,7,0,0,0,0,0,0,0,62419,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stichaeidae_sp.,0.999534633,0,0,0,0,9,0,48,0,7,286,428,305,0,96,0,129,0,0,0,0,0,170,32,65,0,0,0,141,144,0,0,0,20,46,0,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus_adspersus,0.985287961,90,48430,106272,305809,90608,94869,96,60,44393,63,48,69655,52138,30518,53831,37963,32678,75223,51,141,95,51379,186,295098,140580,33170,128,0,58,37,19,99996,41084,25310,91188,101,39710,72319,55,134893,236,15038,53763,1741,75179,129545
Urophycis_chuss,0.999997866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
